20190101 210700;1.145240;1.145280;1.145240;1.145270;0
20190101 210800;1.145280;1.145280;1.145200;1.145220;0
20190101 210900;1.145210;1.145220;1.145120;1.145130;0
20190101 211000;1.145130;1.145160;1.145110;1.145150;0
20190101 211100;1.145160;1.145200;1.145050;1.145140;0
20190101 211200;1.145150;1.145220;1.145060;1.145060;0
20190101 211300;1.145060;1.145280;1.145050;1.145250;0
20190101 211400;1.145250;1.145320;1.145240;1.145320;0
20190101 211500;1.145300;1.145320;1.145220;1.145270;0
20190101 211600;1.145280;1.145290;1.145210;1.145260;0
20190101 211700;1.145270;1.145280;1.145260;1.145260;0
20190101 211800;1.145260;1.145270;1.144910;1.145080;0
20190101 211900;1.145080;1.145160;1.144930;1.145010;0
20190101 212000;1.145010;1.145320;1.145010;1.145230;0
20190101 212100;1.145230;1.145260;1.145010;1.145010;0
20190101 212200;1.145030;1.145060;1.144860;1.144970;0
20190101 212300;1.144980;1.144980;1.144770;1.144840;0
20190101 212400;1.144840;1.144840;1.144740;1.144810;0
20190101 212500;1.144810;1.144830;1.144730;1.144760;0
20190101 212600;1.144760;1.144810;1.144700;1.144770;0
20190101 212700;1.144760;1.144870;1.144760;1.144810;0
20190101 212800;1.144810;1.144950;1.144810;1.144870;0
20190101 212900;1.144890;1.144890;1.144840;1.144850;0
20190101 213000;1.144850;1.144970;1.144850;1.144970;0
20190101 213100;1.144980;1.145030;1.144960;1.145020;0
20190101 213200;1.145020;1.145070;1.144920;1.144920;0
20190101 213300;1.144920;1.144930;1.144840;1.144870;0
20190101 213400;1.144870;1.144890;1.144640;1.144660;0
20190101 213500;1.144690;1.144710;1.144640;1.144670;0
20190101 213600;1.144680;1.144680;1.144450;1.144610;0
20190101 213700;1.144600;1.144620;1.144460;1.144470;0
20190101 213800;1.144500;1.144600;1.144500;1.144520;0
20190101 213900;1.144520;1.144570;1.144510;1.144570;0
20190101 214000;1.144570;1.144570;1.144480;1.144560;0
20190101 214100;1.144560;1.144670;1.144520;1.144540;0
20190101 214200;1.144520;1.144540;1.144460;1.144520;0
20190101 214300;1.144530;1.144560;1.144530;1.144540;0
20190101 214400;1.144540;1.144550;1.144430;1.144490;0
20190101 214500;1.144470;1.144530;1.144350;1.144480;0
20190101 214600;1.144500;1.144540;1.144390;1.144390;0
20190101 214700;1.144390;1.144390;1.144310;1.144330;0
20190101 214800;1.144330;1.144370;1.144260;1.144370;0
20190101 214900;1.144370;1.144420;1.144350;1.144420;0
20190101 215000;1.144420;1.144470;1.144410;1.144460;0
20190101 215100;1.144470;1.144470;1.144390;1.144390;0
20190101 215200;1.144400;1.144430;1.144340;1.144430;0
20190101 215300;1.144430;1.144460;1.144370;1.144440;0
20190101 215400;1.144440;1.144530;1.144410;1.144510;0
20190101 215500;1.144520;1.144520;1.144470;1.144510;0
20190101 215600;1.144510;1.144510;1.144430;1.144440;0
20190101 215700;1.144410;1.144510;1.144410;1.144480;0
20190101 215800;1.144490;1.144510;1.144470;1.144510;0
20190101 215900;1.144510;1.144570;1.144510;1.144560;0
20190101 220000;1.144560;1.144580;1.144560;1.144570;0
20190101 220100;1.144570;1.144590;1.144560;1.144580;0
20190101 220200;1.144570;1.144600;1.144540;1.144580;0
20190101 220300;1.144570;1.144580;1.144530;1.144530;0
20190101 220400;1.144520;1.144560;1.144460;1.144520;0
20190101 220500;1.144500;1.144610;1.144500;1.144520;0
20190101 220600;1.144510;1.144540;1.144470;1.144520;0
20190101 220700;1.144510;1.144530;1.144510;1.144520;0
20190101 220800;1.144520;1.144560;1.144470;1.144540;0
20190101 220900;1.144550;1.144560;1.144520;1.144560;0
20190101 221000;1.144560;1.144590;1.144530;1.144540;0
20190101 221100;1.144540;1.144540;1.144490;1.144510;0
20190101 221200;1.144490;1.144570;1.144460;1.144520;0
20190101 221300;1.144520;1.144550;1.144490;1.144510;0
20190101 221400;1.144520;1.144550;1.144510;1.144520;0
20190101 221500;1.144520;1.144580;1.144510;1.144570;0
20190101 221600;1.144600;1.144630;1.144590;1.144620;0
20190101 221700;1.144620;1.144640;1.144620;1.144640;0
20190101 221800;1.144650;1.144690;1.144640;1.144690;0
20190101 221900;1.144690;1.144780;1.144640;1.144720;0
20190101 222000;1.144710;1.144710;1.144600;1.144600;0
20190101 222100;1.144600;1.144690;1.144600;1.144640;0
20190101 222200;1.144650;1.144700;1.144610;1.144650;0
20190101 222300;1.144660;1.144660;1.144600;1.144650;0
20190101 222400;1.144650;1.144720;1.144650;1.144720;0
20190101 222500;1.144730;1.144790;1.144730;1.144770;0
20190101 222600;1.144770;1.144770;1.144720;1.144730;0
20190101 222700;1.144710;1.144710;1.144670;1.144670;0
20190101 222800;1.144680;1.144730;1.144670;1.144720;0
20190101 222900;1.144730;1.144750;1.144690;1.144750;0
20190101 223000;1.144750;1.144800;1.144750;1.144790;0
20190101 223100;1.144790;1.144800;1.144780;1.144800;0
20190101 223200;1.144790;1.144830;1.144770;1.144800;0
20190101 223300;1.144810;1.144860;1.144810;1.144840;0
20190101 223400;1.144840;1.144870;1.144800;1.144800;0
20190101 223500;1.144790;1.144800;1.144720;1.144720;0
20190101 223600;1.144720;1.144730;1.144600;1.144700;0
20190101 223700;1.144690;1.144700;1.144620;1.144630;0
20190101 223800;1.144630;1.144680;1.144620;1.144640;0
20190101 223900;1.144640;1.144640;1.144640;1.144640;0
20190101 224000;1.144640;1.144640;1.144600;1.144600;0
20190101 224100;1.144600;1.144650;1.144590;1.144650;0
20190101 224200;1.144640;1.144700;1.144640;1.144680;0
20190101 224300;1.144680;1.144710;1.144640;1.144640;0
20190101 224400;1.144640;1.144650;1.144640;1.144640;0
20190101 224500;1.144640;1.144650;1.144590;1.144590;0
20190101 224600;1.144590;1.144630;1.144580;1.144580;0
20190101 224700;1.144580;1.144620;1.144520;1.144590;0
20190101 224800;1.144570;1.144640;1.144570;1.144580;0
20190101 224900;1.144580;1.144590;1.144570;1.144590;0
20190101 225000;1.144590;1.144590;1.144460;1.144490;0
20190101 225100;1.144490;1.144530;1.144480;1.144490;0
20190101 225200;1.144490;1.144590;1.144470;1.144580;0
20190101 225300;1.144580;1.144610;1.144540;1.144570;0
20190101 225400;1.144570;1.144600;1.144550;1.144590;0
20190101 225500;1.144610;1.144700;1.144590;1.144700;0
20190101 225600;1.144690;1.144710;1.144650;1.144690;0
20190101 225700;1.144700;1.144700;1.144570;1.144580;0
20190101 225800;1.144580;1.144590;1.144580;1.144580;0
20190101 225900;1.144580;1.144600;1.144560;1.144570;0
20190101 230000;1.144560;1.144590;1.144480;1.144530;0
20190101 230100;1.144530;1.144570;1.144450;1.144500;0
20190101 230200;1.144490;1.144490;1.144380;1.144390;0
20190101 230300;1.144400;1.144620;1.144390;1.144520;0
20190101 230400;1.144520;1.144540;1.144480;1.144480;0
20190101 230500;1.144480;1.144490;1.144460;1.144480;0
20190101 230600;1.144480;1.144490;1.144470;1.144480;0
20190101 230700;1.144480;1.144480;1.144440;1.144480;0
20190101 230800;1.144490;1.144490;1.144430;1.144450;0
20190101 230900;1.144450;1.144500;1.144440;1.144480;0
20190101 231000;1.144480;1.144560;1.144470;1.144530;0
20190101 231100;1.144530;1.144530;1.144470;1.144470;0
20190101 231200;1.144470;1.144480;1.144430;1.144440;0
20190101 231300;1.144430;1.144490;1.144430;1.144490;0
20190101 231400;1.144470;1.144470;1.144440;1.144440;0
20190101 231500;1.144440;1.144440;1.144370;1.144380;0
20190101 231600;1.144370;1.144440;1.144370;1.144380;0
20190101 231700;1.144380;1.144450;1.144380;1.144450;0
20190101 231800;1.144450;1.144470;1.144420;1.144470;0
20190101 231900;1.144490;1.144510;1.144430;1.144460;0
20190101 232000;1.144460;1.144460;1.144420;1.144450;0
20190101 232100;1.144440;1.144450;1.144410;1.144430;0
20190101 232200;1.144440;1.144500;1.144430;1.144480;0
20190101 232300;1.144490;1.144530;1.144480;1.144490;0
20190101 232400;1.144500;1.144520;1.144480;1.144520;0
20190101 232500;1.144520;1.144580;1.144510;1.144520;0
20190101 232600;1.144520;1.144640;1.144520;1.144640;0
20190101 232700;1.144640;1.144650;1.144590;1.144590;0
20190101 232800;1.144590;1.144590;1.144490;1.144520;0
20190101 232900;1.144520;1.144520;1.144410;1.144460;0
20190101 233000;1.144460;1.144490;1.144300;1.144320;0
20190101 233100;1.144330;1.144340;1.144260;1.144320;0
20190101 233200;1.144330;1.144350;1.144270;1.144270;0
20190101 233300;1.144280;1.144300;1.144270;1.144280;0
20190101 233400;1.144280;1.144340;1.144280;1.144340;0
20190101 233500;1.144350;1.144520;1.144340;1.144490;0
20190101 233600;1.144490;1.144550;1.144490;1.144540;0
20190101 233700;1.144540;1.144640;1.144540;1.144620;0
20190101 233800;1.144620;1.144680;1.144620;1.144680;0
20190101 233900;1.144680;1.144680;1.144550;1.144580;0
20190101 234000;1.144580;1.144610;1.144540;1.144590;0
20190101 234100;1.144590;1.144600;1.144490;1.144490;0
20190101 234200;1.144500;1.144530;1.144480;1.144520;0
20190101 234300;1.144520;1.144530;1.144490;1.144500;0
20190101 234400;1.144500;1.144640;1.144500;1.144590;0
20190101 234500;1.144590;1.144590;1.144500;1.144510;0
20190101 234600;1.144520;1.144540;1.144430;1.144540;0
20190101 234700;1.144540;1.144570;1.144530;1.144550;0
